央视频道,#genre#
中国交通,http://150.138.8.143:80/00/SNM/CHANNEL00000073/index.m3u8
山东教育卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000331/index.m3u8
湖南金鹰卡通 576,http://150.138.8.143:80/00/SNM/CHANNEL00000047/index.m3u8
NNM新动漫 576,http://150.138.8.143:80/00/SNM/CHANNEL00000659/index.m3u8
中华特产 576,http://150.138.8.143:80/00/SNM/CHANNEL00000642/index.m3u8
书画 576,http://150.138.8.143:80/00/SNM/CHANNEL00000651/index.m3u8
优优宝贝 576,http://150.138.8.143:80/00/SNM/CHANNEL00000641/index.m3u8
四海钓鱼 576,http://150.138.8.143:80/00/SNM/CHANNEL00000640/index.m3u8
湖南先锋乒羽 576,http://150.138.8.143:80/00/SNM/CHANNEL00000650/index.m3u8
环球旅游 576,http://150.138.8.143:80/00/SNM/CHANNEL00000643/index.m3u8
车迷频道 576,http://150.138.8.143:80/00/SNM/CHANNEL00000645/index.m3u8

省内频道,#genre#
山东齐鲁,http://150.138.8.143:80/00/SNM/CHANNEL10000313/index.m3u8
山东文旅,http://150.138.8.143:80/00/SNM/CHANNEL00000337/index.m3u8
山东综艺,http://150.138.8.143:80/00/SNM/CHANNEL00000338/index.m3u8
山东生活,http://150.138.8.143:80/00/SNM/CHANNEL00000336/index.m3u8
山东体育,http://150.138.8.143:80/00/SNM/CHANNEL00000315/index.m3u8
山东新闻,http://150.138.8.143:80/00/SNM/CHANNEL10000314/index.m3u8
山东农科,http://150.138.8.143:80/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143:80/00/SNM/CHANNEL00000340/index.m3u8
山东教育卫视,http://150.138.8.143:80/00/SNM/CHANNEL00000331/index.m3u8
济南新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000312/index.m3u8
济南都市,http://150.138.8.143:80/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143:80/00/SNM/CHANNEL00000063/index.m3u8
济南文旅,http://150.138.8.143:80/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143:80/00/SNM/CHANNEL00000065/index.m3u8
济南商务,http://150.138.8.143:80/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://150.138.8.143:80/00/SNM/CHANNEL00000067/index.m3u8
济南鲁中,http://150.138.8.143:80/00/SNM/CHANNEL00000068/index.m3u8
济南科教,http://150.138.8.143:80/00/SNM/CHANNEL00000069/index.m3u8
青岛1,http://150.138.8.143:80/00/SNM/CHANNEL00000500/index.m3u8
青岛2,http://150.138.8.143:80/00/SNM/CHANNEL00000501/index.m3u8
青岛3,http://150.138.8.143:80/00/SNM/CHANNEL00000502/index.m3u8
青岛4,http://150.138.8.143:80/00/SNM/CHANNEL00000503/index.m3u8
青岛5,http://150.138.8.143:80/00/SNM/CHANNEL00000504/index.m3u8
青岛6,http://150.138.8.143:80/00/SNM/CHANNEL00000505/index.m3u8
东营新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143:80/00/SNM/CHANNEL00000227/index.m3u8
烟台新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143:80/00/SNM/CHANNEL00000281/index.m3u8
烟台影视,http://150.138.8.143:80/00/SNM/CHANNEL00000283/index.m3u8
烟台经济,http://150.138.8.143:80/00/SNM/CHANNEL00000282/index.m3u8
潍坊1,http://150.138.8.143:80/00/SNM/CHANNEL00000215/index.m3u8
潍坊2,http://150.138.8.143:80/00/SNM/CHANNEL00000216/index.m3u8
济宁新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143:80/00/SNM/CHANNEL00000239/index.m3u8
日照新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://150.138.8.143:80/00/SNM/CHANNEL00000270/index.m3u8
滨州综合,http://150.138.8.143:80/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143:80/00/SNM/CHANNEL00000221/index.m3u8
德州新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000206/index.m3u8
德州经济,http://150.138.8.143:80/00/SNM/CHANNEL00000207/index.m3u8
淄博新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143:80/00/SNM/CHANNEL00000293/index.m3u8
临沂新闻,http://150.138.8.143:80/00/SNM/CHANNEL00000120/index.m3u8
临沂公共,http://150.138.8.143:80/00/SNM/CHANNEL00000256/index.m3u8
临沂农科,http://150.138.8.143:80/00/SNM/CHANNEL00000121/index.m3u8
山东官方频道,#genre#
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
济南教育,http://live.jnjyapp.cn/live/jneduzb.m3u8
东营新闻综合,http://stream.hhek.cn/xwzh/sd/live.m3u8
东营公共,http://stream.hhek.cn/ggpd/sd/live.m3u8
东营科教,http://stream.hhek.cn/dyjy/sd/live.m3u8
枣庄新闻,http://stream.zzgd.tv/1/sd/live.m3u8
枣庄教育,http://stream.zzgd.tv/2/sd/live.m3u8
枣庄公共,http://stream.zzgd.tv/3/sd/live.m3u8
潍坊3,http://stream.wfcmw.cn/3/sd/live.m3u8?_upt=0caa89de1585634993
潍坊4,http://stream.wfcmw.cn/4/sd/live.m3u8?_upt=454d63321585635080
济宁公共,http://lives.jnnews.tv/video/s10001-JTV3/index.m3u8
济宁图文,http://lives.jnnews.tv/video/s10001-JTV4/index.m3u8
泰安综合,http://223.99.8.99:8666/live/tatv0111.m3u8
泰安公共,http://223.99.8.99:8666/live/tatv222.m3u8
泰安教科,http://223.99.8.99:8666/live/tatv333.m3u8
威海新闻,http://l1.weihai.tv:8081/hls/969O76hb28.m3u8
威海公共,http://l2.weihai.tv:8081/hls/g16E3482eI.m3u8
威海海洋,http://l2.weihai.tv:8081/hls/x8b19NoyEG.m3u8
日照公共,http://live.rzw.com.cn/kzpd/sd/live.m3u8
聊城综合,http://m3u8.channellive.lcbtv.com/cms/videos/nmip-media-dz/channellive/channel2/playlist.m3u8
聊城公共,http://m3u8.channellive.lcbtv.com/cms/videos/nmip-media-dz/channellive/channel3/playlist.m3u8
菏泽1,http://150.138.8.143:80/00/SNM/CHANNEL00000232/index.m3u8
菏泽2,http://live.hznet.tv:1935/live/live2/500K/tzwj_video.m3u8
菏泽3,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
历城新闻综合,https://jsylivealone302.iqilu.com/licheng/licheng_tv01.m3u8#rtmp://jsylivealone.iqilu.com/licheng/licheng_tv01
长清新闻,rtmp://wslivealone.iqilu.com/changqing/changqing_tv01
长清生活,rtmp://wslivealone.iqilu.com/changqing/changqing_tv02
章丘综合,https://jsylivealone302.iqilu.com/zhangqiu/zhangqiu_tv01.m3u8#rtmp://jsylivealone.iqilu.com/zhangqiu/zhangqiu_tv01
章丘TV-2,https://jsylivealone302.iqilu.com/zhangqiu/zhangqiu_tv02.m3u8#rtmp://jsylivealone.iqilu.com/zhangqiu/zhangqiu_tv02
济阳综合,https://jsylivealone302.iqilu.com/live/jiyang_tv01.m3u8#rtmp://jsylivealone.iqilu.com/live/jiyang_tv01
济阳影视,https://jsylivealone302.iqilu.com/live/jiyang_tv02.m3u8#rtmp://jsylivealone.iqilu.com/live/jiyang_tv02
